Symbol,symbol_url
GUJGASLTD,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratgas/GGC
GPPL,https://www.moneycontrol.com/india/stockpricequote/shipping/gujaratpipavavport/GPP03
GULFOILLUB,https://www.moneycontrol.com/india/stockpricequote/lubricants/gulfoillubricantsindia/GOL01
HATHWAY,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/hathwaycabledatacom/HCD
HAVELLS,https://www.moneycontrol.com/india/stockpricequote/electricequipment/havellsindia/HI01
HAWKINCOOK,https://www.moneycontrol.com/india/stockpricequote/domesticappliances/hawkinscooker/HC02
HCLTECH,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/hcltechnologies/HCL02
HDFC,https://www.moneycontrol.com/india/stockpricequote/financehousing/housingdevelopmentfinancecorporation/HDF
HDFCAMC,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/hdfcassetmanagementcompany/HAM02
HDFCBANK,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/hdfcbank/HDF01
HDFCLIFE,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/hdfclifeinsurancecompanylimited/HSL01
HEG,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/heg/HEG
HEIDELBERG,https://www.moneycontrol.com/india/stockpricequote/cementmajor/heidelbergcementindia/HCI02
HERITGFOOD,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/heritagefoods/HFI
HEROMOTOCO,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/heromotocorp/HHM
HEXAWARE,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/hexawaretechnologies/HT02
HFCL,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/hfcl/HFC
HSCL,https://www.moneycontrol.com/india/stockpricequote/chemicals/himadrispecialitychemical/HCI01
HIMATSEIDE,https://www.moneycontrol.com/india/stockpricequote/textilessyntheticsilk/himatsingkaseide/HS
HINDCOPPER,https://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/hindustancopper/HC07
HINDZINC,https://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/hindustanzinc/HZ
HINDALCO,https://www.moneycontrol.com/india/stockpricequote/aluminium/hindalcoindustries/HI
HAL,https://www.moneycontrol.com/india/stockpricequote/diversified/hindustanaeronauticsltd/HAL
HONAUT,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/honeywellautomation/HA04
HINDPETRO,https://www.moneycontrol.com/india/stockpricequote/refineries/hindustanpetroleumcorporation/HPC
HUDCO,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/housingurbandevelopmentcorporation/HUD
HINDUNILVR,https://www.moneycontrol.com/india/stockpricequote/personalcare/hindustanunilever/HU
ICICIBANK,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/icicibank/ICI02
ICICIGI,https://www.moneycontrol.com/india/stockpricequote/diversified/icicilombardgeneralinsurancecompany/ILG
ICICIPRULI,https://www.moneycontrol.com/india/stockpricequote/financegeneral/iciciprudentiallifeinsurancecompany/IPL01
ISEC,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/icicisecuritiesltd/ISL04
IDBI,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/idbibank/IDB05
IDFC,https://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/idfc/IDF
IDFCFIRSTB,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/idfcfirstbank/IDF01
IEX,https://www.moneycontrol.com/india/stockpricequote/diversified/indianenergyexchange/IEE
IFBIND,https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/ifbindustries/IFB02
IFCI,https://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/ifci/IFC02
IGL,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/indraprasthagas/IG04
IIFL,https://www.moneycontrol.com/india/stockpricequote/financegeneral/iiflfinance/II15
INDIACEM,https://www.moneycontrol.com/india/stockpricequote/cementmajor/indiacements/IC
ITDC,https://www.moneycontrol.com/india/stockpricequote/hotels/indiatourismdevelopmentcorporation/ITD02
IBULHSGFIN,https://www.moneycontrol.com/india/stockpricequote/financehousing/indiabullshousingfinance/IHF01
IBULISL,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/indiabullsintegratedservices/IWS
IBREALEST,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/indiabullsrealestate/IRE01
INDIANB,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/indianbank/IB04
INDHOTEL,https://www.moneycontrol.com/india/stockpricequote/hotels/indianhotelscompany/IHC
INDOSTAR,https://www.moneycontrol.com/india/stockpricequote/financegeneral/indostarcapitalfinance/ICF
INDUSINDBK,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/indusindbank/IIB
INFIBEAM,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/infibeamavenues/IIL03
NAUKRI,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/infoedgeindia/IEI01
INFY,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/infosys/IT
INOXLEISUR,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/inoxleisure/INO01
INOXWIND,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/inoxwind/IW
INTELLECT,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/intellectdesignarena/IDA
INDIGO,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/interglobeaviation/IA04
IOB,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/indianoverseasbank/IOB
IOC,https://www.moneycontrol.com/india/stockpricequote/refineries/indianoilcorporation/IOC
IPCALAB,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ipcalaboratories/IL
IRB,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/irbinfrastructuredevelopers/IID01
IRCON,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/irconinternational/II07
ITC,https://www.moneycontrol.com/india/stockpricequote/cigarettes/itc/ITC
ITDCEM,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/itdcementationindia/ITD03
ITI,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/iti/ITI
JKCEMENT,https://www.moneycontrol.com/india/stockpricequote/cementmajor/jkcement/JKC03
JAGRAN,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/jagranprakashan/JP12
JAICORPLTD,https://www.moneycontrol.com/india/stockpricequote/steelgpgcsheets/jaicorp/JC08
JISLJALEQS,https://www.moneycontrol.com/india/stockpricequote/plastics/jainirrigationsystems/JIS02
JAMNAAUTO,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jamnaautoindustries/JAI
JBCHEPHARM,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jbchemicalspharmaceuticals/JBC01
JSLHISAR,https://www.moneycontrol.com/india/stockpricequote/steellarge/jindalstainlesshisar/JSH
JINDALSAW,https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/jindalsaw/JS08
JSL,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/jindalstainless/JSL01
